no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
93,JAMBO 200 ME,Insektisida,ME,Monosultap,198,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
94,JOKI 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,125",l/ha,2022-10-04,2027-10-04
95,JORDAN 5 GR,Insektisida,GR,karbofuran,5,%,padi,penggerek batang,10,kg/ha,2023-08-28,2028-08-28
96,KATANA 200 SC,Insektisida,SC,flubendiamid,200,g/l,padi,penggerek batang,"0,3",ml/l,2024-11-18,2029-11-18
97,KEMPO 400 SL,Insektisida,SL,dimehypo,400,g/l,padi,penggerek batang,2,ml/kg benih,2024-08-09,2029-08-09
98,KK-PLUS 200 SC,Insektisida,SC,klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2026-04-20,2031-04-20
99,"KLORANPRO 0,4 GR",Insektisida,GR,Klorantraniliprol,"0,4",%,padi,penggerek batang,"7,5",kg/ha,2026-04-20,2031-04-20
100,KRESNADAN 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,15,kg/ha,2025-11-13,2030-11-13
101,KURATERBANG 3.3 GR,Insektisida,GR,Karbofuran,3.3,%,padi,penggerek batang,17,kg/ha,2023-02-08,2028-02-08
102,LANDEP 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,"2,25",ml/l,2025-02-17,2030-02-17
103,LANDHYPO 500 SL,Insektisida,SL,Dimehypo,500,g/l,padi,penggerek batang,2,ml/l,2024-08-09,2029-08-09
104,LASER 60/20 WG,Insektisida,WG,Nitenpiram,20,%,padi,penggerek batang,2,g/l,2024-09-19,2029-09-19
105,LASER 60/20 WG,Insektisida,WG,Pimetrozin,60,%,padi,penggerek batang,2,g/l,2024-09-19,2029-09-19
106,LUMIVIA B 625 FS,Insektisida,FS,Klorantraniliprol,625,g/l,padi,penggerek batang,6,ml/kg benih,2025-09-26,2030-09-26
107,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
108,MARATHON 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,0.5,ml/l,2025-02-17,2030-02-17
109,MARSHAL 200 SC,Insektisida,SC,Karbosulfan,200,g/l,padi,penggerek batang,2,ml/l,2022-10-04,2027-10-04
110,MATRIX 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
111,MATRIX WIN 200/100 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
112,MATRIX WIN 200/100 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,penggerek batang,"0,5",ml/l,2024-03-04,2029-03-04
113,MAXDINE 480 SL,Insektisida,SL,Dimehipo,480,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
114,MAXIMA 4/64 WP,Insektisida,WP,Flubendiamida,4,%,padi,penggerek batang,0.25-0.5,kg/ha,2024-11-18,2029-11-18
115,MAXIMA 4/64 WP,Insektisida,WP,Monosultap,64,%,padi,penggerek batang,0.25-0.5,kg/ha,2024-11-18,2029-11-18
116,MONTAF 400 SL,Insektisida,SL,dimehipo,400,g/l,padi,penggerek batang,"1,5",ml/l,2024-03-04,2029-03-04
117,MORGENT 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
118,NARAGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2024-03-04,2029-03-04
119,NARAHYPO 505 SL,Insektisida,SL,Dimehipo,505,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
120,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,penggerek batang,"0,5 - 1,0",ml/l,2023-08-28,2028-08-28
121,NETOXIN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
122,NUMECTIN 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,2,ml/l,2024-11-18,2029-11-18
123,OBLIVION 180/120 SC,Insektisida,SC,indoksakarb,120,g/l,padi,penggerek batang,"2,25",ml/l,2025-11-13,2030-11-13
124,OBLIVION 180/120 SC,Insektisida,SC,klorfenapir,180,g/l,padi,penggerek batang,"2,25",ml/l,2025-11-13,2030-11-13
125,PENALTY 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
126,"PESTOR 20,02 EC",Insektisida,EC,Azadirachtin,"0,02",g/l,padi,penggerek batang,10,ml/liter,2024-08-09,2029-08-09
127,"PESTOR 20,02 EC",Insektisida,EC,Eugenol,20,g/l,padi,penggerek batang,10,ml/liter,2024-08-09,2029-08-09
128,PETROFUR 3 G,Insektisida, G,karbofuran,3,%,padi,penggerek batang,25.5,kg/ha,2025-09-26,2030-09-26
129,PLEMAX 240/80 SC,Insektisida,SC,Indoksakarb,240,g/l,padi,penggerek batang,"1,2",ml/l,2024-08-09,2029-08-09
130,PLEMAX 240/80 SC,Insektisida,SC,Novaluron,80,g/l,padi,penggerek batang,"1,2",ml/l,2024-08-09,2029-08-09
131,PLUSH 2/58 WP,Insektisida,WP,Imidakloprid,2,%,padi,penggerek batang,1,kg/ha,2024-11-18,2029-11-18
132,PLUSH 2/58 WP,Insektisida,WP,Imidakloprid,2,%,padi,penggerek batang,1.25,kg/ha,2024-11-18,2029-11-18
133,PLUSH 2/58 WP,Insektisida,WP,Monosultap,58,%,padi,penggerek batang,1,kg/ha,2024-11-18,2029-11-18
134,PLUSH 2/58 WP,Insektisida,WP,Monosultap,58,%,padi,penggerek batang,1.25,kg/ha,2024-11-18,2029-11-18
135,PORYZA 400 SL,Insektisida,SL,Dimehypo,400,g/l,padi,penggerek batang,"281,25",ml/ha,2024-03-05,2029-03-05
136,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
137,PRIMA-FUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,20,kg/ha,2023-08-28,2028-08-28
138,PRIMA-HIPO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1.125,ml/l,2024-08-09,2029-08-09
139,PRIMA-PRO 55 SC,Insektisida,SC,Fipronil,55,g/l,padi,penggerek batang,2,ml/l,2023-08-28,2028-08-28
140,PRIMAMECT 200 SC,Insektisida,SC,Emamektin Benzoat,50,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
141,PRIMAMECT 200 SC,Insektisida,SC,Indoksakarb,150,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
142,PROTRUDE 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
143,PURDAN PLUS 3/3 GR,Insektisida,GR,dimehipo,3,%,padi,penggerek batang,15,kg/ha,2024-03-04,2029-03-04
144,PURDAN PLUS 3/3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,15,kg/ha,2024-03-04,2029-03-04
145,R-JEN 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,"1,5",ml/l,2024-11-18,2029-11-18
146,RESPECT 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,penggerek batang,"1,5 - 2",ml/l,2023-04-26,2028-04-26
147,SAGRI-CLEAN 150/350 SC,Insektisida,SC,fipronil,150,g/l,padi,penggerek batang,"0,5",ml/l,2024-08-09,2029-08-09
148,SAGRI-CLEAN 150/350 SC,Insektisida,SC,metoksifenosida,350,g/l,padi,penggerek batang,"0,5",ml/l,2024-08-09,2029-08-09
149,SANDIMAS 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2026-01-20,2031-01-20
150,SIDAMEC 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,1,ml/l,2025-09-26,2030-09-26
151,SIDATAN 410 SL,Insektisida,SL,Dimehipo,410,g/l,padi,penggerek batang,1,ml/l,2022-01-14,2027-01-14
152,SIDATAN XR 525 SL,Insektisida,SL,Dimehipo,525,g/l,padi,penggerek batang,0.75,ml/l,2022-11-18,2027-11-18
153,SPINOTAM 480 SC,Insektisida,SC,Spinosad,480,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
154,SPONTAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2024-03-05,2029-03-05
155,SPONTANKING 400 SL,Insektisida,SL,Monosultap,400,g/l,padi,penggerek batang,3,ml/l,2022-06-27,2027-06-27
156,SPONTAS 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,2.25,ml/l,2022-10-04,2027-10-04
157,SPORTIF 505 SL,Insektisida,SL,Dimehypo,505,g/l,padi,penggerek batang,1,ml/l,2025-02-17,2030-02-17
158,STARGATE 600 SC,Insektisida,SC,Klotianidin,600,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
159,STARLET 400 SL,Insektisida,SL,Bisultap,400,g/l,padi,penggerek batang,2,ml/l,2022-12-05,2027-12-05
160,STUNTMAN 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,1,ml/l,2024-03-05,2029-03-05
161,SUPEMEC 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
162,Tecam 80 WG,Insektisida,WG,Fipronil,80,%,padi,penggerek batang,150,g/ha,2023-02-08,2028-02-08
163,TENANO 300/60 SC,Insektisida,SC,Methoxyfenozide,300,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
164,TENANO 300/60 SC,Insektisida,SC,Spinetoram,60,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
165,TERRA 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
166,TIMBER 50/15 WP,Insektisida,WP,Buprofezin,15,%,padi,penggerek batang,"0,75",g/l,2025-02-17,2030-02-17
167,TIMBER 50/15 WP,Insektisida,WP,Monosultap,50,%,padi,penggerek batang,"0,75",g/l,2025-02-17,2030-02-17
168,TRISULA 450 SL,Insektisida,SL,monosultap,450,g/l,padi,penggerek batang,"1,5",ml/l,2024-03-04,2029-03-04
169,VAYEGO 200 SC,Insektisida,SC,tetraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
170,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
171,VIRTAKO 300 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
172,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,100 - 150,ml/ha,2022-06-27,2027-06-27
173,VIRTAKO 300 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,150,ml/ha,2022-06-27,2027-06-27
174,VISTA 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2024-09-19,2029-09-19
175,WINDER 100 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,penggerek batang,"0,5",ml/l,2025-11-13,2030-11-13
176,WINDER 25 WP,Insektisida,WP,imidakloprid,25,%,padi,penggerek batang,100,g/ha,2023-04-26,2028-04-26
177,WINGREAT 400 EC,Insektisida,EC,BPMC,300,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
178,WINGREAT 400 EC,Insektisida,EC,Imidakloprid,100,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
179,XENON 20/60 WG,Insektisida,WG,Nitempiram,20,%,padi,penggerek batang,"0,75",g/l,2024-08-09,2029-08-09
180,XENON 20/60 WG,Insektisida,WG,Pimetrozin,60,%,padi,penggerek batang,"0,75",g/l,2024-08-09,2029-08-09
181,AGADI 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
182,DETOP 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2026-01-20,2031-01-20
183,DEFRON 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
184,KLOPER 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,"1,5",ml/l,2023-08-28,2028-08-28
185,MARSHAL 5 GR,Insektisida,GR,Karbosulfan,5,%,padi,penggerek batang,12,kg/ha,2022-10-04,2027-10-04
186,PANDAWA 50/10 WP,Insektisida,WP,Bisultap,50,%,padi,penggerek batang,4,g/l,2024-09-19,2029-09-19
187,PANDAWA 50/10 WP,Insektisida,WP,Tiametoksam,10,%,padi,penggerek batang,4,g/l,2024-09-19,2029-09-19
188,PANZER 290 SL,Insektisida,SL,Bisultap,290,g/l,padi,penggerek batang,"0,56",l/ha,2023-02-08,2028-02-08
189,REATIS 480 FS,Insektisida,FS,tetraniliprol,480,g/l,padi,penggerek batang,4,ml/kg,2024-09-19,2029-09-19
190,SAPPORO 52 EC,Insektisida,EC,Emammektin Benzoat,52,g/l,padi,penggerek batang,2,ml/l,2025-02-17,2030-02-17
191,"SIKLON 5,7 WG",Insektisida,WG,emamectin benzoate,"5,7",%,padi,penggerek batang,1,g/l,2023-02-08,2028-02-08
192,SPARTAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"0,75",ml/l,2024-11-18,2029-11-18
193,STARGATE 0.5 GR,Insektisida,GR,Klotianidin,0.5,%,padi,penggerek batang,36,kg/ha,2025-02-17,2030-02-17
194,TSUBAME 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,250,ml/ha,2023-08-28,2028-08-28
195,DEMETER 5.7 SG,Insektisida,SG,Emamektin benzoat,5.7,%,padi,penggerek batang,1,g/l,2025-09-26,2030-09-26
196,ELICOR 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2023-02-08,2028-02-08
197,ENFUSE 200 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2023-02-08,2028-02-08
198,PRIMA-TE 150 EC,Insektisida,EC,Indoksakarb,150,g/l,padi,penggerek batang,"0,5",ml/l,2026-04-20,2031-04-20
199,BALISTIC 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2024-09-19,2029-09-19
200,BT-PLUS WP,Insektisida,WP,Bacillus thuringiensis,1 x 10^8,cfu/gr,padi,penggerek batang,"1,1",g/l,2022-10-04,2027-10-04
201,BT-PLUS WP,Insektisida,WP,Serratia marcescens,1 x 10^8,cfu/gr,padi,penggerek batang,"1,1",g/l,2022-10-04,2027-10-04
